,epoch,step,batch_loss,full_loss,lambda_max,step_sharpness,batch_sharpness,gni,total_accuracy
267,2,267,0.123505,,,,,,
268,2,268,0.074427,,,,,,
269,2,269,0.106488,,,,,,
270,2,270,0.160496,,,,,,
271,2,271,0.245008,,,,,,
272,2,272,0.147229,,,,,,
273,2,273,0.120222,,,,,,
274,2,274,0.133263,,,,,,
275,2,275,0.164629,,,,,,
276,2,276,0.213446,,,,,,
277,2,277,0.123292,,,,,,
278,2,278,0.148382,,,,,,
279,2,279,0.127722,,,,,,
280,2,280,0.072483,,,,,,
281,2,281,0.126648,,,,,,
282,2,282,0.08535,,,,,,
283,2,283,0.141617,,,,,,
284,2,284,0.184321,,,,,,
285,2,285,0.177663,,,,,,
286,2,286,0.206897,,,,,,
287,2,287,0.136049,,,,,,
288,2,288,0.099251,,,,,,
289,2,289,0.278147,,,,,,
290,2,290,0.121473,,,,,,
291,2,291,0.122363,,,,,,
292,2,292,0.137174,,,,,,
293,2,293,0.045588,,,,,,
294,2,294,0.181826,,,,,,
295,2,295,0.100151,,,,,,
296,2,296,0.137322,,,,,,
297,2,297,0.162919,,,,,,
298,2,298,0.114525,,,,,,
299,2,299,0.127715,,,,,,
300,2,300,0.120999,,,,,,
301,2,301,0.204685,,,,,,
302,2,302,0.118693,,,,,,
303,2,303,0.222333,,,,,,
304,2,304,0.241578,,,,,,
305,2,305,0.21194,,,,,,
306,2,306,0.161637,,,,,,
307,2,307,0.147102,,,,,,
308,2,308,0.216553,,,,,,
309,2,309,0.214852,,,,,,
310,2,310,0.12273,,,,,,
311,2,311,0.163117,,,,,,
312,2,312,0.20282,,,,,,
313,2,313,0.121651,,,,,,
314,2,314,0.126952,,,,,,
315,2,315,0.046754,,,,,,
316,2,316,0.061159,,,,,,
317,2,317,0.080892,,,,,,
318,2,318,0.090792,,,,,,
319,2,319,0.057868,,,,,,
320,2,320,0.211267,,,,,,
321,2,321,0.188261,,,,,,
322,2,322,0.112122,,,,,,
323,2,323,0.090982,,,,,,
324,2,324,0.171031,,,,,,
325,2,325,0.084451,,,,,,
326,2,326,0.072184,,,,,,
327,2,327,0.086316,,,,,,
328,2,328,0.072119,,,,,,
329,2,329,0.084868,,,,,,
330,2,330,0.131049,,,,,,
331,2,331,0.237844,,,,,,
332,2,332,0.463562,,,,,,
333,2,333,0.08447,,,,,,
334,2,334,0.050191,,,,,,
335,2,335,0.072391,,,,,,
336,2,336,0.154611,,,,,,
337,2,337,0.119694,,,,,,
338,2,338,0.095322,,,,,,
339,2,339,0.098515,,,,,,
340,2,340,0.07219,,,,,,
341,2,341,0.043726,,,,,,
342,2,342,0.197527,,,,,,
343,2,343,0.079216,,,,,,
344,2,344,0.168375,,,,,,
345,2,345,0.109833,,,,,,
346,2,346,0.06139,,,,,,
347,2,347,0.064761,,,,,,
348,2,348,0.078384,,,,,,
349,2,349,0.06712,,,,,,
350,2,350,0.048684,,,,,,
351,2,351,0.08169,,,,,,
352,2,352,0.203338,,,,,,
353,2,353,0.333348,,,,,,
354,2,354,0.053442,,,,,,
355,2,355,0.122123,,,,,,
356,2,356,0.082744,,,,,,
357,2,357,0.303071,,,,,,
358,2,358,0.085622,,,,,,
359,2,359,0.200299,,,,,,
360,2,360,0.187427,,,,,,
361,2,361,0.071916,,,,,,
362,2,362,0.116738,,,,,,
363,2,363,0.155376,,,,,,
364,2,364,0.12301,,,,,,
365,2,365,0.09747,,,,,,
366,2,366,0.179056,,,,,,
367,2,367,0.068605,,,,,,
368,2,368,0.149995,,,,,,
369,2,369,0.158913,,,,,,
370,2,370,0.062137,,,,,,
371,2,371,0.127163,,,,,,
372,2,372,0.162229,,,,,,
373,2,373,0.091959,,,,,,
374,2,374,0.096856,,,,,,
375,2,375,0.09968,,,,,,
376,2,376,0.086248,,,,,,
377,2,377,0.052313,,,,,,
378,2,378,0.106736,,,,,,
379,2,379,0.056423,,,,,,
380,2,380,0.059446,,,,,,
381,2,381,0.208279,,,,,,
382,2,382,0.082769,,,,,,
383,2,383,0.094043,,,,,,
384,3,384,0.143276,,,,17.1,,
385,3,385,0.279596,,,,,,
386,3,386,0.224759,,,,,,
387,3,387,0.274133,,,,,,
388,3,388,0.045895,,,,,,
389,3,389,0.125038,,,,,,
390,3,390,0.083187,,,,,,
391,3,391,0.104274,,,,,,
392,3,392,0.122704,,,,,,
393,3,393,0.053398,,,,,,
394,3,394,0.060034,,,,,,
395,3,395,0.096496,,,,,,
396,3,396,0.16058,,,,,,
397,3,397,0.074687,,,,,,
398,3,398,0.138465,,,,,,
399,3,399,0.093806,,,,,,
